customer_id,region,plan,tenure_months,monthly_spend,support_tickets,churned
1000,East,Standard,71,14.1,1,0
1001,South,Basic,40,68.35,1,0
1002,West,Premium,3,69.29,2,1
1003,East,Basic,64,39.46,0,0
1004,North,Standard,68,57.38,1,0
1005,West,Basic,20,44.09,1,0
1006,East,Standard,29,52.35,1,0
1007,East,Basic,2,27.35,1,0
1008,North,Basic,57,59.2,1,0
1009,South,Standard,56,18.46,2,0
1010,South,Basic,2,15.06,2,1
1011,West,Basic,50,45.81,4,1
1012,East,Premium,30,44.2,1,0
1013,West,Basic,39,52.9,1,1
1014,South,Standard,16,36.31,2,0
1015,North,Standard,58,81.94,2,0
1016,South,Basic,29,50.89,1,0
1017,North,Standard,60,52.19,3,0
1018,West,Basic,11,51.55,2,0
1019,East,Standard,42,66.05,1,0
1020,East,Basic,23,58.37,4,1
1021,South,Basic,69,55.96,3,1
1022,West,Basic,40,61.25,1,0
1023,West,Premium,52,15.16,2,0
1024,East,Standard,7,15.84,1,0
1025,North,Premium,49,46.63,2,0
1026,South,Standard,8,44.44,1,0
1027,North,Standard,26,58.44,2,0
1028,North,Standard,16,48.36,2,0
1029,East,Premium,1,58.47,0,0
1030,East,Standard,42,25.58,1,0
1031,West,Basic,18,47.81,0,1
1032,South,Standard,37,23.86,1,0
1033,South,Standard,55,54.96,1,0
1034,South,Basic,13,14.19,5,0
1035,North,Basic,51,54.27,0,1
1036,North,Basic,22,21.56,2,1
1037,South,Premium,24,41.1,4,0
1038,North,Basic,41,64.11,2,1
1039,East,Premium,45,52.09,0,0
1040,South,Basic,47,18.38,2,0
1041,West,Standard,14,35.9,0,0
1042,East,Basic,42,20.98,0,0
1043,South,Premium,19,17.49,0,0
1044,West,Standard,20,50.12,3,0
1045,East,Basic,68,58.09,1,0
1046,South,Basic,8,55.93,4,1
1047,North,Basic,30,58.85,0,0
1048,East,Basic,32,47.79,1,0
1049,North,Standard,18,43.08,1,0
1050,North,Premium,56,28.68,1,0
1051,North,Standard,35,40.08,0,0
1052,East,Standard,52,24.22,2,0
1053,East,Basic,28,32.79,1,0
1054,East,Premium,64,49.6,0,0
1055,East,Premium,52,45.88,0,0
1056,South,Basic,24,103.17,1,1
1057,South,Premium,69,23.78,0,0
1058,North,Basic,62,45.75,2,0
1059,North,Premium,43,22.37,0,0
1060,East,Premium,2,41.02,1,0
1061,South,Standard,42,41.75,0,0
1062,South,Basic,50,63.21,1,0
1063,East,Standard,26,39.91,2,0
1064,East,Basic,11,44.56,1,0
1065,South,Standard,41,40.25,2,0
1066,South,Basic,57,22.78,0,0
1067,South,Standard,23,36.26,0,0
1068,North,Premium,33,41.13,3,0
1069,South,Basic,1,49.33,2,0
1070,North,Basic,50,58.06,3,1
1071,South,Standard,62,43.78,2,0
1072,West,Basic,56,43.46,1,0
1073,North,Basic,31,17.03,1,0
1074,North,Basic,4,57.72,2,1
1075,North,Basic,35,35.47,0,1
1076,North,Standard,67,61.45,1,1
1077,East,Standard,6,71.7,1,0
1078,South,Basic,16,44.62,2,0
1079,East,Standard,60,29.58,2,0
1080,East,Basic,41,47.7,0,0
1081,South,Basic,13,54.28,1,0
1082,East,Standard,2,42.32,3,0
1083,North,Basic,30,37.85,0,0
1084,North,Standard,43,58.14,2,0
1085,North,Premium,60,56.96,2,0
1086,East,Standard,63,41.77,0,0
1087,South,Standard,33,18.23,0,0
1088,North,Basic,30,56.21,3,0
1089,South,Basic,67,34.19,2,0
1090,North,Basic,56,51.86,1,0
1091,East,Standard,15,50.72,2,0
1092,South,Premium,49,14.0,1,0
1093,South,Basic,51,49.46,0,0
1094,South,Basic,17,57.26,0,0
1095,East,Basic,70,59.47,1,0
1096,South,Standard,22,50.11,0,0
1097,North,Standard,40,12.41,1,0
1098,North,Standard,36,70.99,0,0
1099,West,Premium,50,55.4,0,0
1100,West,Basic,65,26.34,0,0
1101,East,Standard,28,33.82,2,0
1102,North,Standard,28,52.16,1,0
1103,West,Basic,54,60.24,0,0
1104,East,Premium,68,39.22,1,0
1105,East,Basic,65,62.86,1,0
1106,South,Standard,54,15.73,0,0
1107,North,Standard,50,29.24,3,0
1108,North,Premium,55,10.84,2,0
1109,West,Standard,67,31.85,2,1
1110,South,Basic,1,75.15,1,1
1111,North,Premium,42,85.04,1,1
1112,South,Standard,3,52.22,0,0
1113,South,Standard,41,36.51,2,0
1114,North,Standard,29,44.01,6,0
1115,West,Basic,22,56.52,1,0
1116,East,Standard,64,19.87,0,0
1117,East,Premium,51,37.7,1,0
1118,South,Basic,41,73.83,2,1
1119,East,Standard,63,29.18,1,1
1120,South,Premium,7,34.52,1,0
1121,East,Standard,46,48.24,0,1
1122,North,Premium,12,53.1,2,0
1123,South,Basic,17,36.75,1,0
1124,North,Premium,14,49.39,1,0
1125,South,Basic,39,58.94,2,1
1126,South,Standard,45,83.31,0,0
1127,North,Standard,54,45.73,1,0
1128,North,Standard,32,47.26,0,0
1129,South,Premium,67,75.49,1,0
1130,North,Standard,27,38.12,0,0
1131,West,Standard,12,24.16,4,0
1132,South,Basic,3,52.5,1,1
1133,South,Standard,10,67.37,1,1
1134,South,Standard,32,54.5,0,0
1135,North,Basic,30,46.25,0,0
1136,West,Standard,61,21.93,1,0
1137,South,Premium,9,46.95,3,0
1138,East,Standard,19,70.2,0,0
1139,North,Standard,70,25.79,2,0
1140,South,Basic,3,43.59,1,0
1141,South,Standard,31,41.03,1,0
1142,West,Basic,15,35.44,0,1
1143,South,Basic,38,52.46,1,0
1144,South,Standard,70,55.98,1,0
1145,North,Basic,17,55.79,2,0
1146,South,Basic,27,30.42,1,0
1147,South,Standard,32,18.37,1,0
1148,South,Basic,57,52.72,1,0
1149,North,Basic,70,38.89,1,0
1150,West,Basic,7,81.09,0,0
1151,West,Standard,35,81.92,1,0
1152,North,Basic,54,83.83,2,0
